run,horizon_minutes,forecasts,scored,missing_outcomes,sessions,log_loss,brier,baseline_log_loss,loss_difference,difference_ci_low,difference_ci_high,endpoint_mae_ticks,zero_forecast_mae_ticks,endpoint_rmse_ticks,zero_forecast_rmse_ticks,interval_80_coverage,interval_80_width,long_mae80_coverage,short_mae80_coverage,mean_scenario_ess,mean_nearest_distance,feature_coverage,flow_coverage
null-1729,240,288,288,0,8,1.0546460524330163,0.6403649042579508,1.0598483826947134,-0.005202330261696758,-0.02770883175391612,0.02016383418637986,17.177856884409433,17.470486111111153,22.259537629993517,23.75780208104741,0.6909722222222222,47.7064072614789,0.7256944444444444,0.8368055555555555,713.3800268562214,0.48003468263450116,0.9565217391304349,1.0
base-2718,60,576,576,0,8,0.9749631363585828,0.5796981713766277,1.0927105456836006,-0.11774740932501782,-0.18105043588584938,-0.04825590052546125,11.21590480679785,13.20746527777783,14.55717564710442,17.390767725530004,0.7847222222222222,39.766315588035376,0.7569444444444444,0.8559027777777778,1236.6716843632303,0.44520840712273824,0.9782608695652174,1.0
base-2718,120,480,480,0,8,1.017443197548984,0.6123894157009445,1.1114082431826442,-0.09396504563366055,-0.14914937135868472,-0.04375784844015276,23.147705463494763,22.832291666666848,29.140367447597814,29.178804022212297,0.75,74.30225862838529,0.6937500000000001,0.8583333333333334,1097.9407775256675,0.43699548365581,0.9739130434782607,1.0
base-2718,240,288,288,0,8,1.0805500053640114,0.6694721498203967,1.1264653901317319,-0.04591538476772024,-0.08165306855884906,-0.009669061334245388,48.511447659370155,38.69270833333332,58.28723952012844,48.324253816737254,0.6180555555555555,115.05522873196996,0.6840277777777777,0.8784722222222222,681.1320264806697,0.4407346394061347,0.9565217391304349,1.0
null-2718,60,576,576,0,8,1.088821011443403,0.6609909641069427,1.0978327249538653,-0.009011713510462125,-0.03240974595966053,0.013253391340211687,8.673918457541168,8.881076388888724,11.396824810566399,11.599640050689167,0.7743055555555555,28.15486296754009,0.8107638888888888,0.8472222222222222,1428.5583317824098,0.48802714000259556,0.9782608695652174,1.0
null-2718,120,480,480,0,8,1.1154904834076986,0.6772043193917404,1.1224952059566096,-0.007004722548911251,-0.02719003192255095,0.010977904058258391,12.14918748628722,12.06354166666655,15.67980682093928,15.591280282046451,0.7312500000000001,36.417596085417465,0.75625,0.84375,1192.5783874676633,0.4952393771112744,0.9739130434782607,1.0
null-2718,240,288,288,0,8,1.1240964367535204,0.6861961973534387,1.1429223359280485,-0.01882589917452765,-0.048254507174196465,0.018012251013064126,18.576409544349502,17.519097222222037,24.090156598721126,22.35068122874294,0.7326388888888888,59.16307286598203,0.78125,0.8194444444444444,728.8946517850612,0.5069966387881046,0.9565217391304349,1.0
base-3141,60,576,576,0,8,0.9837814343525481,0.5888510085017273,1.0749361886829691,-0.09115475433042078,-0.15921049236632598,-0.02780004579781027,11.687104328256876,13.440104166666533,15.276836951381789,18.675046946988413,0.8628472222222222,46.14555148492079,0.84375,0.7777777777777777,1302.6024129542413,0.46451650674908596,0.9782608695652174,1.0
base-3141,120,480,480,0,8,1.0074236937905523,0.607935708637549,1.013453405267105,-0.006029711476552877,-0.08672130109698767,0.05970848745730024,19.749353666349815,21.99687499999997,25.48803086213134,30.59555557320922,0.88125,77.24962894971438,0.8583333333333334,0.8354166666666667,1122.8783526810957,0.4807477171463473,0.9739130434782607,1.0
base-3141,240,288,288,0,8,1.0778549046042856,0.6496969908103342,1.0800394550782013,-0.002184550473915468,-0.016774858370111688,0.013405687088085731,35.14011941373119,35.43923611111115,51.99410122938519,52.29247177335063,0.8229166666666666,122.67414088614494,0.8854166666666666,0.8229166666666666,705.9043232999218,0.46781131043567903,0.9565217391304349,1.0
null-3141,60,576,576,0,8,1.0824223220473435,0.6560739485669795,1.096068730944559,-0.013646408897215145,-0.02142757540015046,-0.005238259926285554,9.915533891567264,9.992187499999996,12.886700075730122,12.931459942713307,0.7881944444444444,32.24069193758798,0.8524305555555556,0.75,1474.8447550282735,0.5086037143855354,0.9782608695652174,1.0
null-3141,120,480,480,0,8,1.1146806310546518,0.6774292060480385,1.094996577703052,0.019684053351599763,-0.013695489265430436,0.06488384957340963,13.75413655111109,13.686458333333283,17.13498500308453,16.998789785354262,0.8375,46.02991434349676,0.86875,0.7458333333333333,1214.1128180886633,0.5150588224757523,0.9739130434782607,1.0
null-3141,240,288,288,0,8,1.1022445756979966,0.6686996998438999,1.1043952472833576,-0.002150671585360522,-0.01673153920750159,0.014637783757618067,17.533496503748104,17.835069444444542,22.26615051779305,22.721804108486737,0.8090277777777778,66.83956939700744,0.9201388888888888,0.6319444444444444,718.1856877499552,0.5178673273153721,0.9565217391304349,1.0
