configuration,horizon_minutes,model,world,gaussian_nll,mse,coverage80
precise_current_proxy,60,causal_kalman_observer,86,3.6498264452439284,84.34041264015102,0.8734177215189873
precise_current_proxy,60,causal_kalman_observer,87,3.9136542280378315,140.990329286727,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,88,3.7485033223845092,105.52861657288523,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,89,4.0464995461151405,169.51528642456717,0.7088607594936709
precise_current_proxy,60,causal_kalman_observer,90,3.6117286336422114,76.1599328256343,0.8607594936708861
precise_current_proxy,60,causal_kalman_observer,91,4.109814067796949,183.11037613729147,0.5569620253164557
precise_current_proxy,60,causal_kalman_observer,92,3.6373668006390347,81.66503925514058,0.8354430379746836
precise_current_proxy,60,causal_kalman_observer,93,4.008889191782327,161.4394749408823,0.810126582278481
precise_current_proxy,60,causal_kalman_observer,94,3.689610008477383,92.88286225335032,0.8354430379746836
precise_current_proxy,60,causal_kalman_observer,95,3.571502516801009,67.52245673446131,0.8987341772151899
precise_current_proxy,60,causal_kalman_observer,96,3.6102558559684823,75.84369345322206,0.8860759493670886
precise_current_proxy,60,causal_kalman_observer,97,3.7005941877075195,95.24141915447998,0.8481012658227848
precise_current_proxy,60,causal_kalman_observer,98,3.6720245051035847,89.10684863657353,0.810126582278481
precise_current_proxy,60,causal_kalman_observer,99,3.8094227871782604,118.60943227081356,0.759493670886076
precise_current_proxy,60,causal_kalman_observer,100,3.5711311302075814,67.44271145768072,0.8734177215189873
precise_current_proxy,60,causal_kalman_observer,101,3.8703542096597956,131.69281556040679,0.7341772151898734
precise_current_proxy,60,causal_kalman_observer,102,3.701873759317818,95.5161727240211,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,103,3.6935416933746397,93.72708578186405,0.8734177215189873
precise_current_proxy,60,causal_kalman_observer,104,3.8536560098305226,128.10732650213305,0.7721518987341772
precise_current_proxy,60,causal_kalman_observer,105,3.4587662021789614,43.31536694752202,0.9746835443037974
precise_current_proxy,60,causal_kalman_observer,106,3.6791400393774345,90.63471814008358,0.7974683544303798
precise_current_proxy,60,causal_kalman_observer,107,3.726350206765317,100.7718311426352,0.8354430379746836
precise_current_proxy,60,causal_kalman_observer,108,3.8643079560241813,130.39454529919954,0.7088607594936709
precise_current_proxy,60,causal_kalman_observer,109,3.571197099216054,67.45687652699844,0.8607594936708861
precise_current_proxy,60,causal_kalman_observer,110,3.5544243205169184,63.85537366336809,0.8860759493670886
precise_current_proxy,60,causal_kalman_observer,111,3.844395325352473,126.11884371909895,0.6962025316455697
precise_current_proxy,60,causal_kalman_observer,112,3.9602794720124908,151.00184572680593,0.6582278481012658
precise_current_proxy,60,causal_kalman_observer,113,3.769357105044768,110.00640521576041,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,114,4.01769241125366,163.32972942428563,0.6582278481012658
precise_current_proxy,60,causal_kalman_observer,115,4.02675434086594,165.2755349484665,0.6329113924050633
precise_current_proxy,60,causal_kalman_observer,116,4.035516585598409,167.1569912093451,0.6455696202531646
precise_current_proxy,60,causal_kalman_observer,117,3.4415455605882768,39.617697580096326,0.9620253164556962
precise_current_proxy,60,causal_kalman_observer,118,4.298698173985205,223.66815499633788,0.5822784810126582
precise_current_proxy,60,causal_kalman_observer,119,4.472276821306725,260.93949843961354,0.4050632911392405
precise_current_proxy,60,causal_kalman_observer,120,3.587454094247671,70.94762872796882,0.8607594936708861
precise_current_proxy,60,causal_kalman_observer,121,3.6157046541452287,77.01367623239688,0.8987341772151899
precise_current_proxy,60,causal_kalman_observer,122,3.633420457665457,80.8176682991913,0.8607594936708861
precise_current_proxy,60,causal_kalman_observer,123,3.752684344568558,106.42637857397402,0.759493670886076
precise_current_proxy,60,causal_kalman_observer,124,3.6374273044418493,81.67803081861396,0.8481012658227848
precise_current_proxy,60,causal_kalman_observer,125,3.7318331221251975,101.94913966878153,0.8227848101265823
precise_current_proxy,60,causal_kalman_observer,126,3.634267626487295,80.999575006038,0.8354430379746836
precise_current_proxy,60,causal_kalman_observer,127,4.029649298181364,165.89714912752478,0.7468354430379747
precise_current_proxy,60,memory_limited_ridge,0,3.785389714755189,113.1792466521277,0.8481012658227848
precise_current_proxy,60,memory_limited_ridge,1,4.291963383857745,238.6428179895894,0.5822784810126582
precise_current_proxy,60,memory_limited_ridge,2,3.54657620623595,54.03208309044041,0.9493670886075949
precise_current_proxy,60,memory_limited_ridge,3,3.6761086859141043,86.11351269456796,0.8734177215189873
