seed,horizon_minutes,sample,candidate,reference,metric,sessions,difference,ci_low,ci_high
1729,60,matched_horizons,frozen_full,price_only,brier,8,0.002721062666991389,-0.02873790397984826,0.03360059188316671
1729,120,all_eligible,frozen_full,price_only,log_loss,8,-0.011897365900458229,-0.056524101870893365,0.030428765075005595
1729,120,all_eligible,frozen_full,price_only,brier,8,-0.0038761948172428284,-0.028411991167079806,0.01942462155991509
1729,120,matched_horizons,frozen_full,price_only,log_loss,8,0.01816146027971803,-0.05291040814511832,0.07676246973025368
1729,120,matched_horizons,frozen_full,price_only,brier,8,0.017013445072222556,-0.020674224874335442,0.05297793492988872
1729,240,all_eligible,frozen_full,price_only,log_loss,8,0.10034140727350438,0.06444703904289172,0.13979118333234083
1729,240,all_eligible,frozen_full,price_only,brier,8,0.0700684090001297,0.029140716266339774,0.11413977667905534
1729,240,matched_horizons,frozen_full,price_only,log_loss,8,0.10034140727350438,0.06444703904289172,0.13979118333234083
1729,240,matched_horizons,frozen_full,price_only,brier,8,0.0700684090001297,0.029140716266339774,0.11413977667905534
2718,60,all_eligible,frozen_full,price_only,log_loss,8,-0.03571539586486072,-0.07997430310602147,0.0051211834703583856
2718,60,all_eligible,frozen_full,price_only,brier,8,-0.02525675636292113,-0.05766969348142157,0.005017739334960886
2718,60,matched_horizons,frozen_full,price_only,log_loss,8,-0.03340911571892742,-0.08284924359537293,0.014847514808590687
2718,60,matched_horizons,frozen_full,price_only,brier,8,-0.021442883928230357,-0.05321143935562463,0.009798457189846026
2718,120,all_eligible,frozen_full,price_only,log_loss,8,0.0021408903013384814,-0.03829474549096703,0.0382490546519301
2718,120,all_eligible,frozen_full,price_only,brier,8,-0.0027405854786214483,-0.036959289427970214,0.027897381753792142
2718,120,matched_horizons,frozen_full,price_only,log_loss,8,0.0277834304541165,-0.04100114423210021,0.08999905586472243
2718,120,matched_horizons,frozen_full,price_only,brier,8,0.012843644367071999,-0.043265165791807905,0.06264202379506295
2718,240,all_eligible,frozen_full,price_only,log_loss,8,0.06507575434538959,0.021068681897271093,0.10228202075301415
2718,240,all_eligible,frozen_full,price_only,brier,8,0.0471418426138581,0.01830643881082747,0.07321239433731505
2718,240,matched_horizons,frozen_full,price_only,log_loss,8,0.06507575434538959,0.021068681897271093,0.10228202075301415
2718,240,matched_horizons,frozen_full,price_only,brier,8,0.0471418426138581,0.01830643881082747,0.07321239433731505
3141,60,all_eligible,frozen_full,price_only,log_loss,8,-0.05297273173329872,-0.06890558596659656,-0.035114897158250745
3141,60,all_eligible,frozen_full,price_only,brier,8,-0.03706456099508375,-0.050024300273959516,-0.01977531354080897
3141,60,matched_horizons,frozen_full,price_only,log_loss,8,0.013659678844578887,-0.03237400357829939,0.06504629007980622
3141,60,matched_horizons,frozen_full,price_only,brier,8,0.014107072190823043,-0.02024497962671943,0.055933261967783886
3141,120,all_eligible,frozen_full,price_only,log_loss,8,0.00711270103101333,-0.03408900361416113,0.04723150753060287
3141,120,all_eligible,frozen_full,price_only,brier,8,0.004837233896985642,-0.025308692983014032,0.03394378517686076
3141,120,matched_horizons,frozen_full,price_only,log_loss,8,0.04237837486168067,-0.008965611487466208,0.09120500700802495
3141,120,matched_horizons,frozen_full,price_only,brier,8,0.03455893093516078,-0.005676556922514665,0.07268479073450831
3141,240,all_eligible,frozen_full,price_only,log_loss,8,0.008720316717926835,-0.1114486072340564,0.10403953311022099
3141,240,all_eligible,frozen_full,price_only,brier,8,0.0027901106781595894,-0.07967400809010713,0.06910002611323063
3141,240,matched_horizons,frozen_full,price_only,log_loss,8,0.008720316717926835,-0.1114486072340564,0.10403953311022099
3141,240,matched_horizons,frozen_full,price_only,brier,8,0.0027901106781595894,-0.07967400809010713,0.06910002611323063
